ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
0.8331,0.0499,0.0421,0.053,,0.864,,,,,,1.1875,,1.1967,1.195,,,,0.1057,,,,2.0695,,,,0.0506,,,0.0078,,0.3491,,,0.7138,,0.2078,0.2376,0.0056,,,,0.0474,,,0.9017,,,0.0007,,,,,,0.0937,,,,,0.0737,,0.0268,,,1.0831,,,,,,,,,0.1164,,0.0419,0.2305,0.8996,2.4121,1.8237
0.8201,0.047,0.0389,0.0467,,0.7866,,,,,,1.1191,,1.0838,0.9952,,,,0.1009,,,,2.0111,,,,0.0503,,,0.0048,,0.3001,,,0.5964,,0.1616,0.2245,,,,,0.0462,,,0.8824,,,0.0002,,,,,,0.0549,,,,,0.0371,,0.0178,,,0.7473,,,,,,,,,0.113,,0.0334,0.1857,0.8013,2.2533,1.7561
0.5361,0.0443,0.0368,0.0149,,0.6686,,,,,,1.118,,1.0768,0.9821,,,,0.0999,,,,1.5807,,,,0.0394,,,0.0029,,0.1662,,,0.413,,0.1364,0.1434,,,,,0.0409,,,0.6969,,,0.0001,,,,,,0.0472,,,,,0.0204,,0.0144,,,0.7409,,,,,,,,,0.1067,,0.0334,0.1782,0.6828,1.797,1.5371
0.536,0.0388,0.0145,0.0148,,0.5578,,,,,,0.9759,,1.0234,0.9037,,,,0.0708,,,,1.4876,,,,0.0369,,,0.0001,,0.1195,,,0.3258,,0.126,0.1113,,,,,0.0394,,,0.6846,,,0.0001,,,,,,0.0416,,,,,0.0196,,0.0144,,,0.5871,,,,,,,,,0.1019,,0.0289,0.1758,0.5546,1.7156,1.2787
0.5144,0.0238,0.0089,0.0087,,0.5146,,,,,,0.9574,,0.9879,0.8881,,,,0.0686,,,,1.076,,,,0.0226,,,0,,0.1003,,,0.2544,,0.1084,0.0724,,,,,0.0393,,,0.5733,,,0,,,,,,0.001,,,,,0.019,,0.0127,,,0.5592,,,,,,,,,0.0956,,0.0285,0.1723,0.5456,1.6877,1.0795
0.3914,0.0187,0.0015,0.0083,,0.501,,,,,,0.8875,,0.9668,0.8587,,,,0.0465,,,,0.9484,,,,0.0162,,,,,0.0954,,,0.2109,,0.0462,0.0473,,,,,0.0384,,,0.5653,,,0,,,,,,0.0002,,,,,0.018,,0.0127,,,0.3955,,,,,,,,,0.0811,,0.027,0.1486,0.3897,1.6728,1.0413
0.3142,0.0178,,0.0043,,0.4155,,,,,,0.8199,,0.927,0.8521,,,,0.0287,,,,0.6637,,,,0.0117,,,,,0.0762,,,0.2043,,0.0362,0.0391,,,,,0.0364,,,0.5617,,,0,,,,,,0.0002,,,,,0.0091,,0.0102,,,0.2063,,,,,,,,,0.0779,,0.0212,0.1428,0.3638,1.4469,0.9757
0.308,0.0114,,0.0034,,0.3929,,,,,,0.6841,,0.8593,0.6635,,,,0.0245,,,,0.4875,,,,0.0082,,,,,0.0756,,,0.1603,,0.0318,0.0284,,,,,0.0358,,,0.5469,,,0,,,,,,,,,,,0.0011,,0.0099,,,0.199,,,,,,,,,0.0731,,0.0205,0.1397,0.3429,1.4296,0.9343
0.2464,0.0111,,0.0032,,0.355,,,,,,0.6664,,0.8064,0.5339,,,,0.0228,,,,0.3946,,,,0.002,,,,,0.0561,,,0.1381,,0.0318,0.0263,,,,,0.0255,,,0.5411,,,,,,,,,,,,,,0.0009,,0.0094,,,0.1816,,,,,,,,,0.0693,,0.0198,0.1376,0.2952,1.3219,0.915
0.1943,0.0105,,0.0021,,0.3159,,,,,,0.5422,,0.7623,0.4024,,,,0.0194,,,,0.3813,,,,0.0015,,,,,0.0364,,,0.1144,,0.0162,0.0153,,,,,0.0225,,,0.3944,,,,,,,,,,,,,,0.0009,,0.0089,,,0.1325,,,,,,,,,0.0663,,0.0188,0.1343,0.2509,1.2761,0.8743
