ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
,,20569,,,,,,,,,74221,,1150000,19087,,,,,,,,34060,,,,15640,,,,,,,,410500,,11485,,,,,,,,,253590,,,,,,,,,,,,,,,,,,,,,,,,,,,,2172,,,146945,25788,33323,147479
,,17320,,,,,,,,,68330,,1100748,17679,,,,,,,,31890,,,,15230,,,,,,,,323559,,9876,,,,,,,,,253250,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697,,,137657,25000,24499,135400
,,15824,,,,,,,,,66000,,993258,11893,,,,,,,,31009,,,,14050,,,,,,,,297560,,6336,,,,,,,,,249362,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,136949,18629,19242,135200
,,15158,,,,,,,,,61182,,944617,10094,,,,,,,,30192,,,,12861,,,,,,,,276520,,5157,,,,,,,,,245050,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,108425,14500,18208,129700
,,13773,,,,,,,,,60088,,924531,7062,,,,,,,,27305,,,,11468,,,,,,,,237522,,3758,,,,,,,,,222000,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,106400,13719,17918,129570
,,12622,,,,,,,,,56652,,887006,6898,,,,,,,,25500,,,,7040,,,,,,,,217000,,3089,,,,,,,,,221037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102982,13700,13406,119249
,,12587,,,,,,,,,56000,,880270,6831,,,,,,,,24668,,,,5100,,,,,,,,212300,,2600,,,,,,,,,212518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99330,10836,8590,110000
,,11890,,,,,,,,,48200,,825367,4400,,,,,,,,23056,,,,5032,,,,,,,,201515,,2100,,,,,,,,,205321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86764,10638,7000,109407
,,9332,,,,,,,,,45087,,787776,575,,,,,,,,23040,,,,5027,,,,,,,,190698,,2100,,,,,,,,,203765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85813,9400,6486,103983
,,8181,,,,,,,,,39857,,770204,459,,,,,,,,22745,,,,4701,,,,,,,,187000,,2000,,,,,,,,,193700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78376,8600,6010,90015
,,7073,,,,,,,,,31890,,750000,,,,,,,,,17865,,,,3644,,,,,,,,152781,,1935,,,,,,,,,187810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76900,8413,5095,77800
