ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
SG Americas Securities LLC,"Merrill Lynch, Pierce, Fenner & Smith, Inc. (Invt Mgmt)",,"SagePoint Financial, Inc. (Investment Management)",,Esfera Capital Gestion SGIIC SA,,,,,,Geode Capital Management LLC,,Fidelity Investments Canada ULC,BlackRock Asset Management Canada Ltd.,,,,BlackRock Fund Advisors,,,,BC Investment Management Corp.,,,,"Foyston, Gordon & Payne, Inc.",,,,,"RBC Dominion Securities, Inc. (Investment Management)",,,North Growth Management Ltd.,,,"Merrill Lynch, Pierce, Fenner & Smith, Inc. (Invt Mgmt)",,,,,,,,"ATB Investment Management, Inc.",,,,,,,,,,,,,,,BNP Paribas Arbitrage SNC,UBS Securities LLC,,,,,,,,,,,,BlackRock Investment Management (UK) Ltd.,,Vision2020 Wealth Management Corp.,BlackRock Advisors LLC,"JBF Capital, Inc.",1832 Asset Management LP,The California Public Employees Retirement System
LMR Partners LLP,"BofA Securities, Inc.",,Wells Fargo Clearing Services LLC,,Citadel Advisors LLC,,,,,,Citadel Advisors LLC,,Alberta Investment Management Corp.,Monashee Investment Management LLC,,,,A.R.T. Advisors LLC,,,,BlackRock Asset Management Canada Ltd.,,,,Inversis Gestion SGIIC SA,,,,,Tower Research Capital LLC,,,Mawer Investment Management Ltd.,,,"US Bancorp Asset Management, Inc.",,,,,,,,Vancity Investment Management Ltd.,,,,,,,,,,,,,,,AXA Equitable Funds Management Group LLC,"Deutsche Bank Securities, Inc.",,,,,,,,,,,,Zurcher Kantonalbank (Investment Management),,Delta Asset Management LLC (Tennessee),Teachers Advisors LLC,"RBC Dominion Securities, Inc. (Investment Management)",The California Public Employees Retirement System,Magnus Financial Group LLC
Two Sigma Investments LP,Truvestments Capital LLC,,Sowell Financial Services LLC,,Virtu Financial BD LLC,,,,,,David M. Knott Partnership,,Redwood Capital Management LLC,Tiverton Asset Management LLC,,,,Ardsley Advisory Partners,,,,"TD Waterhouse Private Investment Counsel, Inc.",,,,Quilter Investors Ltd.,,,,,Prelude Capital Management LLC,,,"SSgA Funds Management, Inc.",,,"BMO Asset Management, Inc.",,,,,,,,BlackRock Fund Advisors,,,,,,,,,,,,,,,"Union Bank & Trust Co. (Lincoln, Nebraska)",,,,,,,,,,,,,"Triasima Portfolio Management, Inc.",,Wells Fargo Clearing Services LLC,Winton Capital Management Ltd.,BlackRock Asset Management Canada Ltd.,"ALPS Advisors, Inc.",Acuta Capital Partners LLC
A.R.T. Advisors LLC,"Merrill Lynch Canada, Inc.",,"RBC Dominion Securities, Inc.",,"BMO Asset Management, Inc.",,,,,,SG Americas Securities LLC,,Manulife Investment Management Ltd.,"BofA Securities, Inc.",,,,Simplex Trading LLC,,,,Next Century Growth Investors LLC,,,,Zurcher Kantonalbank (Investment Management),,,,,"RBC Dominion Securities, Inc.",,,Pictet Asset Management SA,,,Strategic Advisers LLC,,,,,,,,MFS Investment Management Canada Ltd.,,,,,,,,,,,,,,,BMO Asset Management Corp.,,,,,,,,,,,,,AllianceBernstein LP,,"Merrill Lynch, Pierce, Fenner & Smith, Inc. (Invt Mgmt)",California State Teachers' Retirement System,Mandarine Gestion SA,Boothbay Fund Management LLC,Marathon Capital Management LLC
1832 Asset Management LP,Prelude Capital Management LLC,,"Royal Alliance Associates, Inc. (Investment Management)",,"RBC Dominion Securities, Inc. (Investment Management)",,,,,,Perinvest (UK) Ltd.,,"RBC Global Asset Management, Inc.","CI Investments, Inc.",,,,HBK Sorce Advisory LLC,,,,DWS Investment GmbH,,,,Invesco Capital Management LLC,,,,,"TD Securities, Inc.",,,"Sun Life Global Investments (Canada), Inc.",,,"TD Securities, Inc.",,,,,,,,TIAA-CREF Investment Management LLC,,,,,,,,,,,,,,,"KMS Financial Services, Inc.",,,,,,,,,,,,,"Foyston, Gordon & Payne, Inc.",,"RBC Private Counsel (USA), Inc.",Citadel Advisors LLC,LGT Capital Partners AG (Investment Management),Moore Capital Management LP,Polar Capital LLP
ProShare Advisors LLC,"TD Securities, Inc.",,"JNBA Financial Advisors, Inc.",,UBS Securities LLC,,,,,,Barclays Bank Plc (Private Banking),,"Peter B. Cannell & Co., Inc.",Boothbay Fund Management LLC,,,,Group One Trading LP,,,,Baader Bank AG (Investment Management),,,,Russell Investments Canada Ltd.,,,,,JPMorgan Securities LLC (Investment Management),,,"CI Global Investments, Inc.",,,Sound Income Strategies LLC,,,,,,,,"Hillsdale Investment Management, Inc.",,,,,,,,,,,,,,,Bessemer Investment Management LLC,,,,,,,,,,,,,,,"Financial Architects, Inc.",Tower Research Capital LLC,Voya Investments LLC,"PNC Bank, NA (Investment Management)",Pura Vida Investments LLC
DWS Investment GmbH,,,"RBC Dominion Securities, Inc. (Investment Management)",,City National Rochdale LLC,,,,,,"Barclays Capital, Inc.",,"Private Management Group, Inc.",Meadow Creek Investment Management LLC,,,,Morgan Stanley & Co. LLC,,,,QS Investors LLC,,,,Mackenzie Financial Corp.,,,,,Simplex Trading LLC,,,Credit Suisse AG,,,Front Row Advisors LLC,,,,,,,,BlackRock Asset Management Canada Ltd.,,,,,,,,,,,,,,,"Shine Investment Advisory Services, Inc.",,,,,,,,,,,,,,,"Teton Advisors, Inc. (Investment Management)",The Weil Co.,Russell Investment Management LLC,"Northern Trust Investments, Inc.(Investment Management)",North Growth Management Ltd.
Susquehanna Financial Group LLLP,,,"BMO Asset Management, Inc.",,"KMS Financial Services, Inc.",,,,,,ExodusPoint Capital Management LP,,BMO Asset Managers Ltd.,"RBC Dominion Securities, Inc. (Investment Management)",,,,Morgan Stanley Smith Barney LLC (Invt Mgmt),,,,"Merrill Lynch Canada, Inc.",,,,Goldman Sachs Asset Management International,,,,,"BMO Asset Management, Inc.",,,UBS Asset Management (UK) Ltd.,,,UBS Securities LLC,,,,,,,,Pzena Investment Management LLC,,,,,,,,,,,,,,,Laurel Wealth Advisors LLC,,,,,,,,,,,,,,,Valeo Financial Advisors LLC,Boothbay Fund Management LLC,William Blair Investment Management LLC,Russell Investment Management LLC,Prelude Capital Management LLC
"SSgA Funds Management, Inc.",,,"Merrill Lynch, Pierce, Fenner & Smith, Inc. (Invt Mgmt)",,DWS Investment GmbH,,,,,,ProShare Advisors LLC,,Schweizerische Nationalbank (Investment Portfolio),Elkfork Partners LLC,,,,Tower Research Capital LLC,,,,"Wilbanks, Smith & Thomas Asset Management LLC",,,,Geode Capital Management LLC,,,,,Morgan Stanley & Co. LLC,,,"Arrow Capital Management, Inc.",,,"Royal Alliance Associates, Inc. (Investment Management)",,,,,,,,"Addenda Capital, Inc.",,,,,,,,,,,,,,,"BMO Private Investment Counsel, Inc.",,,,,,,,,,,,,,,"US Bancorp Asset Management, Inc.",Plante Moran Financial Advisors LLC,"ZPR Investment Management, Inc.",New Jersey Division of Investment,G10 Capital Ltd.
"Citigroup Global Markets, Inc. (Investment Management)",,,"Investacorp Advisory Services, Inc.",,RBC Capital Markets LLC (Investment Management),,,,,,"The Vanguard Group, Inc.",,Citadel Advisors LLC,Glen Harbor Capital Management LLC,,,,"RBC Dominion Securities, Inc. (Investment Management)",,,,Dimensional Fund Advisors Ltd.,,,,"TD Asset Management, Inc.",,,,,,,,"CIBC Asset Management, Inc.",,,Tower Research Capital LLC,,,,,,,,"SSgA Funds Management, Inc.",,,,,,,,,,,,,,,"RBC Dominion Securities, Inc.",,,,,,,,,,,,,,,"UBS Financial Services, Inc.",New York State Common Retirement Fund,"TD Asset Management, Inc.",D. E. Shaw & Co. LP,"UBS Financial Services, Inc."
BlackRock Investment Management LLC,,,,,Tower Research Capital LLC,,,,,,Simplex Trading LLC,,Morgan Stanley Smith Barney LLC (Invt Mgmt),Cubist Systematic Strategies LLC,,,,"UBS Financial Services, Inc.",,,,"Northern Trust Investments, Inc.(Investment Management)",,,,AllianceBernstein LP,,,,,,,,"The Vanguard Group, Inc.",,,Sowell Financial Services LLC,,,,,,,,PCJ Investment Counsel Ltd.,,,,,,,,,,,,,,,Wells Fargo Clearing Services LLC,,,,,,,,,,,,,,,Global Retirement Partners LLC,AllianceBernstein LP,Ahrens Investment Partners LLC,Two Sigma Advisers LP,Two Sigma Advisers LP
"Meeder Asset Management, Inc.",,,,,Group One Trading LP,,,,,,Credit Suisse Securities (USA) LLC (Broker),,COMMERZBANK AG (Investment Management),Neuburgh Advisers LLC,,,,Wells Fargo Clearing Services LLC,,,,Gesiuris Asset Management SGIIC SA,,,,,,,,,,,,Brandes Investment Partners LP,,,,,,,,,,,"The Vanguard Group, Inc.",,,,,,,,,,,,,,,"HORAN Securities, Inc.",,,,,,,,,,,,,,,"SagePoint Financial, Inc. (Investment Management)",TIAA-CREF Investment Management LLC,Renaissance Technologies LLC,JPMorgan Securities LLC (Investment Management),Susquehanna Financial Group LLLP
Sterling Investment Advisors Ltd.,,,,,"Gilder, Gagnon, Howe & Co. LLC",,,,,,Virtu Financial BD LLC,,"Bruce & Co., Inc.",ClearBridge Investments LLC,,,,"Valley National Advisers, Inc.",,,,Two Sigma Advisers LP,,,,,,,,,,,,NFS Netfonds Financial Service GmbH,,,,,,,,,,,Neuberger Berman Investment Advisers LLC,,,,,,,,,,,,,,,"Financial Gravity Wealth, Inc.",,,,,,,,,,,,,,,WealthTrust Fairport LLC,Kamunting Street Capital Management LP,"Merrill Lynch, Pierce, Fenner & Smith, Inc. (Invt Mgmt)","SSgA Funds Management, Inc.",Wells Fargo Clearing Services LLC
BNP Paribas Arbitrage SNC,,,,,"BMO Private Investment Counsel, Inc.",,,,,,Credit Suisse AG,,Legal & General Investment Management Ltd.,UBS Securities LLC,,,,"Merrill Lynch, Pierce, Fenner & Smith, Inc. (Invt Mgmt)",,,,WBS Hunicke Vermogensverwaltung GmbH,,,,,,,,,,,,Geode Capital Management LLC,,,,,,,,,,,Professionals' Financial - Mutual Funds Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Royal Alliance Associates, Inc. (Investment Management)",Dimensional Fund Advisors LP,"SSgA Funds Management, Inc.",Geode Capital Management LLC,Evoke Wealth LLC
RBC Capital Markets LLC (Investment Management),,,,,"Citigroup Global Markets, Inc. (Investment Management)",,,,,,Point72 Asset Management LP,,Canada Pension Plan Investment Board,Renta 4 Gestora SGIIC SA,,,,,,,,"RBC Dominion Securities, Inc. (Investment Management)",,,,,,,,,,,,"Empire Life Investments, Inc.",,,,,,,,,,,Credit Suisse AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coastal Investment Advisors, Inc.",Two Sigma Investments LP,Janus Capital Management LLC,"Elmwood Wealth Management, Inc.","TD Asset Management, Inc."
Group One Trading LP,,,,,,,,,,,The Patriot Financial Group Insurance Agency LLC,,JPMorgan Securities LLC (Investment Management),Prelude Capital Management LLC,,,,,,,,"AGF Investments, Inc.",,,,,,,,,,,,Vanguard Investments Australia Ltd.,,,,,,,,,,,"Palos Management, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bank of America, NA (Private Banking)",D. E. Shaw & Co. LP,"IFP Advisors, Inc.",Falcon Point Capital LLC,A.R.T. Advisors LLC
"RBC Dominion Securities, Inc. (Investment Management)",,,,,,,,,,,"BMO Asset Management, Inc.",,"JPMorgan Investment Management, Inc.",Dimensional Fund Advisors LP,,,,,,,,"Merrill Lynch, Pierce, Fenner & Smith, Inc. (Invt Mgmt)",,,,,,,,,,,,Fiera Capital Corp. (Investment Management),,,,,,,,,,,UBS Asset Management (UK) Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBC Capital Markets LLC (Investment Management),"BlackRock Financial Management, Inc.",Tennessee Consolidated Retirement System,Acuitas Investments LLC,"Raymond James Financial Services Advisors, Inc."
Wells Fargo Clearing Services LLC,,,,,,,,,,,UBS Asset Management (UK) Ltd.,,"Legal & General Investment Management America, Inc.","Gables Capital Management, Inc.",,,,,,,,"RBC Private Counsel (USA), Inc.",,,,,,,,,,,,BlackRock Investment Management (UK) Ltd.,,,,,,,,,,,Dimensional Fund Advisors Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Investacorp Advisory Services, Inc.",RhumbLine Advisers LP,AJO LP,"Invesco Advisers, Inc.",Apis Capital Advisors LLC
"Merrill Lynch, Pierce, Fenner & Smith, Inc. (Invt Mgmt)",,,,,,,,,,,Morgan Stanley Canada Ltd.,,Allianz Global Investors GmbH,DWS Investment GmbH,,,,,,,,"BofA Securities, Inc.",,,,,,,,,,,,"MD Financial Management, Inc.",,,,,,,,,,,Geode Capital Management LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMO Asset Management Corp.,SunAmerica Asset Management LLC,WCM Investment Management LLC,Goldman Sachs & Co. LLC (Private Banking),Credit Suisse Securities (USA) LLC (Broker)
BlackRock Advisors (UK) Ltd.,,,,,,,,,,,KLP Kapitalforvaltning AS,,"Nikko Asset Management Co., Ltd.","TD Securities, Inc.",,,,,,,,AlphaMark Advisors LLC,,,,,,,,,,,,Guardians of New Zealand Superannuation,,,,,,,,,,,Vanguard Investments Australia Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CWM LLC,Voya Investment Management Co. LLC,Mont Blanc Capital Management AG,The Bank of New York Mellon Corp. (Investment Management),Simplex Trading LLC
"PanAgora Asset Management, Inc.",,,,,,,,,,,"TD Asset Management, Inc.",,Parametric Portfolio Associates LLC,"Merrill Lynch Canada, Inc.",,,,,,,,"Foyston, Gordon & Payne, Inc.",,,,,,,,,,,,KLP Kapitalforvaltning AS,,,,,,,,,,,KLP Kapitalforvaltning AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CapFinancial Partners LLC,Susquehanna Financial Group LLLP,Dimensional Fund Advisors LP,"BMO Asset Management, Inc.",Tekla Capital Management LLC
"GF Fund Management Co., Ltd.",,,,,,,,,,,Cresset Asset Management LLC,,"Academy Capital Management, Inc.",CA Indosuez (Switzerland) SA,,,,,,,,UBS Securities LLC,,,,,,,,,,,,Marshall Wace LLP,,,,,,,,,,,"Arrow Capital Management, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NEXT Financial Group, Inc.","Sectoral Asset Management, Inc.",Mackenzie Financial Corp.,Morgan Stanley & Co. LLC,"Arrow Capital Management, Inc."
Morgan Stanley Smith Barney LLC (Invt Mgmt),,,,,,,,,,,A.R.T. Advisors LLC,,Goldman Sachs & Co. LLC (Private Banking),"UBS Financial Services, Inc.",,,,,,,,Acadian Asset Management LLC,,,,,,,,,,,,Xact Kapitalforvaltning AB,,,,,,,,,,,State Street Global Advisors Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plante Moran Financial Advisors LLC,Barclays Bank Plc (Private Banking),"TD Securities, Inc.",Morgan Stanley Smith Barney LLC (Invt Mgmt),"SSgA Funds Management, Inc."
"Barclays Capital, Inc.",,,,,,,,,,,Renaissance Technologies LLC,,"Triasima Portfolio Management, Inc.",,,,,,,,,"BMO Asset Management, Inc.",,,,,,,,,,,,"Bridges Investment Management, Inc.",,,,,,,,,,,Zurcher Kantonalbank (Investment Management),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steward Partners Investment Advisory LLC,Two Sigma Securities LLC,"Merrill Lynch Canada, Inc.",Tower Research Capital LLC,Morgan Stanley Canada Ltd.
"RBC Dominion Securities, Inc.",,,,,,,,,,,"Coastal Investment Advisors, Inc.",,"M. D. Sass Investors Services, Inc.",,,,,,,,,"TD Securities, Inc.",,,,,,,,,,,,"Northern Trust Investments, Inc.(Investment Management)",,,,,,,,,,,AllianceBernstein LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Benjamin F. Edwards & Co., Inc.",SG Americas Securities LLC,,Cubist Systematic Strategies LLC,"KJ Harrison & Partners, Inc."
"Mirae Asset Global Investments Co., Ltd.",,,,,,,,,,,"Benjamin F. Edwards & Co., Inc.",,Credit Suisse Securities (USA) LLC (Broker),,,,,,,,,Morgan Stanley Smith Barney LLC (Invt Mgmt),,,,,,,,,,,,Zurcher Kantonalbank (Investment Management),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bartlett & Co. Wealth Management LLC,Jane Street Capital LLC,,BlackRock Advisors (UK) Ltd.,SG Americas Securities LLC
"UBS Financial Services, Inc.",,,,,,,,,,,Barometer Investment House Ltd.,,APG Asset Management NV,,,,,,,,,O'Shaughnessy Asset Management LLC,,,,,,,,,,,,State Street Global Advisors Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peoples Advisors LLC,"JPMorgan Chase Bank, NA (Investment Management)",,UBS Securities LLC,Pennsylvania Public School Employees Retirement System
Simplex Trading LLC,,,,,,,,,,,"US Bancorp Asset Management, Inc.",,Diameter Capital Partners LP,,,,,,,,,Tower Research Capital LLC,,,,,,,,,,,,Gesiuris Asset Management SGIIC SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"QCI Asset Management, Inc.",Champlain Investment Partners LLC,,"BMO Private Investment Counsel, Inc.",Granite Investment Partners LLC
Daiwa Asset Management Co. Ltd.,,,,,,,,,,,Tower Research Capital LLC,,Morgan Stanley Canada Ltd.,,,,,,,,,"KMS Financial Services, Inc.",,,,,,,,,,,,"Triasima Portfolio Management, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Riggs Asset Management Co., Inc.",BMO Asset Management Corp.,,"ProEquities, Inc.","BMO Asset Management, Inc."
"Coastal Capital Group, Inc.",,,,,,,,,,,Brown Brothers Harriman & Co. (Investment Management),,Bogle Investment Management LP,,,,,,,,,City National Rochdale LLC,,,,,,,,,,,,AllianceBernstein LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"AdvisorNet Financial, Inc.",Morgan Stanley & Co. LLC,,"Citigroup Global Markets, Inc. (Broker)",Marshall Wace LLP
FSC Securities Corp.,,,,,,,,,,,Zurcher Kantonalbank (Investment Management),,"RBC Dominion Securities, Inc. (Investment Management)",,,,,,,,,,,,,,,,,,,,,"Foyston, Gordon & Payne, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Merrill Lynch Canada, Inc.","TCI Wealth Advisors, Inc.",,"Barclays Capital, Inc.",RBC Capital Markets LLC (Investment Management)
Blackstone Alternative Investment Advisors LLC,,,,,,,,,,,Cubist Systematic Strategies LLC,,Millennium Management LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWS Investments (UK) Ltd.,,"RBC Dominion Securities, Inc.","RBC Dominion Securities, Inc. (Investment Management)"
Flagship Harbor Advisors LLC,,,,,,,,,,,Morgan Stanley Smith Barney LLC (Invt Mgmt),,TIAA-CREF Investment Management LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abante Asesores Gestion SGIIC SA,,Wells Fargo Clearing Services LLC,Morgan Stanley Smith Barney LLC (Invt Mgmt)
"NEXT Financial Group, Inc.",,,,,,,,,,,"UBS Financial Services, Inc.",,Walleye Capital LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Credit Suisse Securities (USA) LLC (Broker),,Blackstone Alternative Investment Advisors LLC,Group One Trading LP
"Creative Financial Designs, Inc.",,,,,,,,,,,Vanguard Investments Australia Ltd.,,Two Sigma Advisers LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cetera Advisor Networks LLC,,RBC Capital Markets LLC (Investment Management),Barclays Bank Plc (Private Banking)
"Massey, Quick & Co. LLC",,,,,,,,,,,Shell Asset Management Company BV,,Invesco Capital Management LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mellon Investments Corp.,,"Mirae Asset Global Investments Co., Ltd.",Rockefeller & Co. LLC
"Securities America Advisors, Inc.",,,,,,,,,,,BlackRock Advisors (UK) Ltd.,,"Terril Brothers, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Signet Financial Management LLC,,Daiwa Asset Management Co. Ltd.,"US Bancorp Asset Management, Inc."
Barclays Bank Plc (Private Banking),,,,,,,,,,,"RBC Dominion Securities, Inc. (Investment Management)",,Glendon Capital Management LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morgan Stanley Smith Barney LLC (Invt Mgmt),,,Tennessee Consolidated Retirement System
"Coastal Investment Advisors, Inc.",,,,,,,,,,,RBC Capital Markets LLC (Investment Management),,BC Investment Management Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amalgamated Bank (Investment Management),,,Cutler Group LP
,,,,,,,,,,,"GF Fund Management Co., Ltd.",,Gabelli Funds LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Principal Global Investors LLC,,,Haven Wealth Group LLC
,,,,,,,,,,,Cutler Group LP,,Biglari Capital LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Legal & General Investment Management America, Inc.",,,"Woodbury Financial Services, Inc."
,,,,,,,,,,,Morgan Stanley & Co. International Plc,,Geode Capital Management LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GWM Advisors LLC,,,"Merrill Lynch, Pierce, Fenner & Smith, Inc. (Invt Mgmt)"
,,,,,,,,,,,Parallel Advisors LLC,,"UBS Financial Services, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan Stanley Investment Management, Inc.",,,Truvestments Capital LLC
,,,,,,,,,,,"Citigroup Global Markets, Inc. (Broker)",,The Public Sector Pension Investment Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HighTower Advisors LLC,,,"Stifel Nicolaus & Co., Inc. (Investment Management)"
,,,,,,,,,,,Legal & General Investment Management Ltd.,,Laurion Capital Management LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Advisor Group LLC,,,UBS Securities LLC
,,,,,,,,,,,"SSgA Funds Management, Inc.",,"Northern Trust Investments, Inc.(Investment Management)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QMA LLC,,,Quantbot Technologies LP
,,,,,,,,,,,CapFinancial Partners LLC,,"Hillsdale Investment Management, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bank of America, NA (Private Banking)",,,Tower Research Capital LLC
,,,,,,,,,,,Advisory Alpha LLC,,State of Wisconsin Investment Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brighton Jones LLC,,,"Dorsey, Wright & Associates LLC"
,,,,,,,,,,,"ClearArc Capital, Inc.",,Bridgecreek Investment Management LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stoker Ostler Wealth Advisors, Inc.",,,"AdvisorNet Financial, Inc."
,,,,,,,,,,,"Citigroup Global Markets, Inc. (Investment Management)",,Atom Investors LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Citigroup Global Markets, Inc. (Investment Management)",,,Wells Fargo Advisors Financial Network LLC
,,,,,,,,,,,UBS Securities LLC,,Allianz Global Investors U.S. LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BMO Asset Management, Inc.",,,Steward Partners Investment Advisory LLC
,,,,,,,,,,,Lindbrook Capital LLC,,Numeric Investors LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ameritas Investment Partners, Inc.",,,"SagePoint Financial, Inc. (Investment Management)"
,,,,,,,,,,,"Securities America Advisors, Inc.",,Sjunde AP-fonden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capital Bank & Trust Co. (Investment Management),,,Flagship Harbor Advisors LLC
,,,,,,,,,,,Trust Company of Vermont,,FIL Investment Advisors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wells Fargo Bank, NA (Private Banking)",,,KBC Asset Management NV
,,,,,,,,,,,"Mirae Asset Global Investments Co., Ltd.",,"CIBC Asset Management, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ProFund Advisors LLC,,,FSC Securities Corp.
,,,,,,,,,,,"Howe & Rusling, Inc.",,Stanley Capital Management LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LSV Asset Management,,,"Howe & Rusling, Inc."
,,,,,,,,,,,Daiwa Asset Management Co. Ltd.,,Goldman Sachs Asset Management LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Securities America Advisors, Inc.",,,"Winslow, Evans & Crocker, Inc. (Investment Management)"
,,,,,,,,,,,CWM LLC,,SEI Investments Canada Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vident Investment Advisory LLC,,,
,,,,,,,,,,,Steward Partners Investment Advisory LLC,,Pendal Group Ltd. (Investment Management),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BNP Paribas Arbitrage SNC,,,
,,,,,,,,,,,Wealthcare Advisory Partners LLC,,GLC Asset Management Group Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Westfield Capital Management Co. LP,,,
