ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
Goldman Sachs & Co. LLC (Private Banking),Bayesian Capital Management LP,Mackenzie Financial Corp.,Two Sigma Advisers LP,,JPMorgan Securities LLC (Investment Management),,,,,,"Creative Planning, Inc.",,Wellington Management Co. LLP,Artisan Partners LP,,,,Worth Venture Partners LLC,,,,Aperio Group LLC,,,,NCM Asset Management Ltd.,,,,,"Wedbush Securities, Inc. (Investment Management)",,,Account Management LLC,,Marathon Asset Management LLP,Good Life Advisors LLC,,,,,H. M. Payson & Co.,,,Stone Asset Management Ltd.,,,,,,,,,Pentwater Capital Management LP,,,,,"Securities America Advisors, Inc.","Century Securities Associates, Inc.",Huntington National Bank (Investment Management),,,,,,,,,,,,UBS Asset Management (UK) Ltd.,,Virtu Financial BD LLC,Apo Asset Management GmbH,Morgan Stanley Canada Ltd.,David M. Knott Partnership,"Opaleye Management, Inc."
"BofA Securities, Inc.",A.R.T. Advisors LLC,BlackRock Fund Advisors,Russell Investments Canada Ltd.,,"Creative Planning, Inc.",,,,,,Ironwood Investment Management LLC,,ClearBridge Investments LLC,Schonfeld Strategic Advisors LLC,,,,LPL Financial LLC,,,,Palladium Partners LLC,,,,UBS Asset Management (UK) Ltd.,,,,,"Victory Capital Management, Inc. (Investment Management)",,,"TD Asset Management, Inc.",,,BlackRock Investment Management LLC,,,,,1832 Asset Management LP,,,Fidelity Management & Research Co.,,,,,,,,,Millennium Management LLC,,,,,Capital Investment Advisory Services LLC,UBS Securities LLC,Triad Hybrid Solutions LLC,,,,,,,,,,,,Seelaus Asset Management LLC,,Larson Financial Group LLC,Squarepoint OPS LLC,Morgan Stanley & Co. LLC,"Altrinsic Global Advisors Canada, Inc.",Sphera Funds Management Ltd.
JPMorgan Securities LLC (Investment Management),Sterling Investment Advisors Ltd.,BlackRock Investment Management (UK) Ltd.,Truvestments Capital LLC,,Morgan Stanley & Co. LLC,,,,,,Meitav Ds Mutual Funds Ltd.,,"Thrivent Investment Management, Inc.",Goldman Sachs & Co. LLC (Private Banking),,,,Susquehanna Financial Group LLLP,,,,"CIBC Asset Management, Inc.",,,,Credit Suisse Asset Management (Schweiz) AG,,,,,"Meeder Asset Management, Inc.",,,Picton Mahoney Asset Management,,,"Victory Capital Management, Inc. (Investment Management)",,,,,GF Geneva Finance SA,,,Picton Mahoney Asset Management,,,,,,,,,Morgan Stanley Smith Barney LLC (Invt Mgmt),,,,,"Merrill Lynch, Pierce, Fenner & Smith, Inc. (Invt Mgmt)",Morgan Stanley & Co. LLC,"UBS Financial Services, Inc.",,,,,,,,,,,,State Street Global Advisors Ltd.,,"Securities America Advisors, Inc.",BlackRock Investment Management LLC,BC Investment Management Corp.,Altrinsic Global Advisors LLC,Marshall Wace North America LP
Winton Capital Management Ltd.,HRT Financial LLC,,Morgan Stanley Smith Barney LLC (Invt Mgmt),,Worth Venture Partners LLC,,,,,,Schweizerische Nationalbank (Investment Portfolio),,Dimensional Fund Advisors LP,Alyeska Investment Group LP,,,,"PNC Bank, NA (Investment Management)",,,,"UBS Financial Services, Inc.",,,,"SSgA Funds Management, Inc.",,,,,BlackRock Investment Management LLC,,,1832 Asset Management LP,,,Morgan Stanley Canada Ltd.,,,,,Rathbone Investment Management Ltd.,,,Guardian Capital LP,,,,,,,,,Catalyst Capital Advisors LLC,,,,,,"Merrill Lynch, Pierce, Fenner & Smith, Inc. (Invt Mgmt)",Wells Fargo Advisors Financial Network LLC,,,,,,,,,,,,"Staley Capital Advisers, Inc.",,Intercontinental Wealth Advisors LLC,Virtu Financial BD LLC,EAM Investors LLC,Altshuler Shaham Mutual Funds Management Ltd.,FIAM LLC
Two Sigma Advisers LP,Sigma Planning Corp.,,Cutler Group LP,,Gagnon Securities LLC,,,,,,Rockefeller & Co. LLC,,Point72 Asset Management LP,Millennium Management LLC,,,,Geode Capital Management LLC,,,,Claret Asset Management Corp.,,,,Vanguard Investments Australia Ltd.,,,,,AXA Equitable Funds Management Group LLC,,,Mackenzie Financial Corp.,,,Vanguard Fiduciary Trust Co.,,,,,Ironwood Investment Management LLC,,,1832 Asset Management LP,,,,,,,,,Tower Research Capital LLC,,,,,,"BMO Asset Management, Inc.","KMS Financial Services, Inc.",,,,,,,,,,,,Vanguard Investments Australia Ltd.,,Vectors Research Management LLC,"Charles Schwab Investment Management, Inc.",Royce & Associates LP,Mellon Investments Corp.,Two Sigma Investments LP
Geode Capital Management LLC,Morgan Stanley Smith Barney LLC (Invt Mgmt),,BlackRock Investment Management LLC,,Boothbay Fund Management LLC,,,,,,Kazazian Asset Management LLC,,"Rovida Advisors, Inc.",JPMorgan Securities LLC (Investment Management),,,,Morgan Stanley Canada Ltd.,,,,Seizert Capital Partners LLC,,,,Dimensional Fund Advisors Ltd.,,,,,UBS Securities LLC,,,Royce & Associates LP,,,Ameritas Investment Corp. (Investment Management),,,,,"CIBC World Markets, Inc.",,,BlackRock Investment Management (UK) Ltd.,,,,,,,,,Wealthcare Advisory Partners LLC,,,,,,JPMorgan Securities LLC (Investment Management),"Merrill Lynch, Pierce, Fenner & Smith, Inc. (Invt Mgmt)",,,,,,,,,,,,Apo Asset Management GmbH,,"Woodbury Financial Services, Inc.",AXA Equitable Funds Management Group LLC,Cove Street Capital LLC,"Granahan Investment Management, Inc.","Raymond James & Associates, Inc. (Invt Mgmt)"
Walleye Capital LLC,"BMO Asset Management, Inc.",,"TD Securities, Inc.",,BlackRock Asset Management Canada Ltd.,,,,,,TIAA-CREF Investment Management LLC,,"TD Asset Management, Inc.",Morgan Stanley Canada Ltd.,,,,"Financial Counselors, Inc.",,,,"Hillsdale Investment Management, Inc.",,,,BlackRock Fund Advisors,,,,,Liechtensteinische Landesbank Osterreich AG,,,TIAA-CREF Investment Management LLC,,,"Citigroup Global Markets, Inc. (Investment Management)",,,,,"RBC Private Counsel (USA), Inc.",,,Invesco Canada Ltd.,,,,,,,,,,,,,,,Morgan Stanley Smith Barney LLC (Invt Mgmt),Glenmede Investment Management LP,,,,,,,,,,,,KLP Kapitalforvaltning AS,,"PNC Bank, NA (Investment Management)",UBS Securities LLC,"Raymond James Financial Services Advisors, Inc.",BNY Mellon Investment Adviser Inc.,Taylor Wealth Management Partners LLC
Mackenzie Financial Corp.,UBS Securities LLC,,Group One Trading LP,,Geode Capital Management LLC,,,,,,Wells Fargo Advisors Financial Network LLC,,Ardevora Asset Management LLP,Point72 Asset Management LP,,,,1832 Asset Management LP,,,,Mackenzie Financial Corp.,,,,Credit Suisse AG,,,,,BNP Paribas Arbitrage SNC,,,BlackRock Asset Management Canada Ltd.,,,BNP Paribas Arbitrage SNC,,,,,"TD Securities, Inc.",,,Cypress Capital Management Ltd. (Canada),,,,,,,,,,,,,,,Ahead Wealth Solutions AG,"JNBA Financial Advisors, Inc.",,,,,,,,,,,,Royce & Associates LP,,"TD Securities, Inc.",Vanguard Fiduciary Trust Co.,"StoneCastle Investment Management, Inc.",Squarepoint OPS LLC,Diametric Capital LP
ExodusPoint Capital Management LP,"BMO Private Investment Counsel, Inc.",,"Citigroup Global Markets, Inc. (Investment Management)",,"US Bancorp Asset Management, Inc.",,,,,,BlackRock Asset Management Canada Ltd.,,"CIBC World Markets, Inc.",Weiss Multi-Strategy Advisers LLC,,,,Millennium Management LLC,,,,WEDGE Capital Management LLP,,,,"The Vanguard Group, Inc.",,,,,"SSgA Funds Management, Inc.",,,Dimensional Fund Advisors Ltd.,,,"RBC Dominion Securities, Inc. (Investment Management)",,,,,UBS Securities LLC,,,"Triasima Portfolio Management, Inc.",,,,,,,,,,,,,,,"RBC Dominion Securities, Inc. (Investment Management)","Howe & Rusling, Inc.",,,,,,,,,,,,Geode Capital Management LLC,,"Endurance Wealth Management, Inc.",The Bank of New York Mellon Corp. (Investment Management),Lacuna Vermogen GmbH,"RBC Dominion Securities, Inc. (Investment Management)",OxFORD Asset Management LLP
Tower Research Capital LLC,"RBC Dominion Securities, Inc. (Investment Management)",,"Merrill Lynch Canada, Inc.",,Simplex Trading LLC,,,,,,Group One Trading LP,,"Chou Associates Management, Inc.",Renaissance Technologies LLC,,,,Private Advisor Group LLC,,,,"SSgA Funds Management, Inc.",,,,Schroder Investment Management Ltd.,,,,,"Citigroup Global Markets, Inc. (Investment Management)",,,QS Investors LLC,,,"UBS Financial Services, Inc.",,,,,DWS Investment GmbH,,,BlackRock Advisors (UK) Ltd.,,,,,,,,,,,,,,,Huntington National Bank (Investment Management),CWM LLC,,,,,,,,,,,,"Sectoral Asset Management, Inc.",,"BMO Asset Management, Inc.",ExodusPoint Capital Management LP,"CIBC World Markets, Inc.",The Bank of New York Mellon Corp. (Wealth Management),Vident Investment Advisory LLC
