ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
,,,,,,,,,,,,,iShares Tr. - Global Healthcare ETF,,,,,,,,,,,,,,,,,,,,,Quadrus North American Specialty Class,,,,,,,,,,,MD Precision Canadian Balanced Growth Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T Rowe Price Small Cap Index Fund,,,Fidelity Global Health Care Fund
,,,,,,,,,,,,,Hartford Capital Appreciation HLS Fund,,,,,,,,,,,,,,,,,,,,,Fidelity Conservative Managed Risk Portfolio,,,,,,,,,,,FDP Canadian Equity Portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meeder Global Allocation Fund,,,Fidelity Advisor Series I - Growth Opportunities Fund
,,,,,,,,,,,,,SPDR Portfolio Developed World ex-US ETF,,,,,,,,,,,,,,,,,,,,,Handelsbanken Global Smabolag Index Criteria,,,,,,,,,,,Compass Balanced Growth Portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanguard Growth & Income Fund,,,AMG Managers Special Equity Fund
,,,,,,,,,,,,,Treligga PLC - Ardevora Global Long-only Equity SRI Fund,,,,,,,,,,,,,,,,,,,,,Scotia Canadian Index Fund,,,,,,,,,,,GWL Growth Equity Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invesco FTSE RAFI US 1500 Small Mid ETF
,,,,,,,,,,,,,FCP Medical - BioHealth,,,,,,,,,,,,,,,,,,,,,State Street Global Equity (ex-US) Index Portfolio,,,,,,,,,,,Barometer Long Short Pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLP Aksjeglobal Small Cap Indeks I
,,,,,,,,,,,,,BlackRock Global Funds - (USD) High Yield Bond,,,,,,,,,,,,,,,,,,,,,Dimensional Funds Plc - Global Small Companies Fund,,,,,,,,,,,MDPIM Canadian Equity Pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fidelity CanAm Opportunities Currency Neutral Class
,,,,,,,,,,,,,Wells Fargo Diversified Capital Builder Fund,,,,,,,,,,,,,,,,,,,,,Vanguard International Small Companies Index Fund,,,,,,,,,,,CI Signature Canadian Equity Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Counsel Canadian Growth
,,,,,,,,,,,,,Fidelity Canadian Equity Investment Trust,,,,,,,,,,,,,,,,,,,,,Vanguard International Small Companies Index Fund (Hedged),,,,,,,,,,,Neuberger Berman Invt. Funds Plc - Uncorrelated Strategies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Renaissance Canadian Equity Private Pool
,,,,,,,,,,,,,MDPIM Canadian Equity Pool,,,,,,,,,,,,,,,,,,,,,FlexShares Morningstar Dev. Mrkts. (ex-US) Factor Tilt Index,,,,,,,,,,,DFA International Vector Equity Portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fidelity Balanced Income Currency Neutral Private Pool
,,,,,,,,,,,,,Tekla World Healthcare Fund,,,,,,,,,,,,,,,,,,,,,BlackRock IFS - iShares Wo. (ex-Switzerland) Sm.Ca.Eq.In. (CH),,,,,,,,,,,BlackRock Strategic Fds. - Americas Diversified Eq. Abs. Ret.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Voya Multi Manager International Small Cap Fund
,,,,,,,,,,,,,CSIF Umbrella - Canada Index Blue,,,,,,,,,,,,,,,,,,,,,Russell Investments Global Smaller Companies Pool,,,,,,,,,,,SPDR S&P International Small Cap ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fidelity VIP II - Asset Manager Growth Portfolio
,,,,,,,,,,,,,GMO Implementation Fund,,,,,,,,,,,,,,,,,,,,,HSBC Small Cap Growth Fund,,,,,,,,,,,Vanguard Investment Series Plc - Global Small Cap Index Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fidelity NorthStar Balanced Fund
,,,,,,,,,,,,,Eaton Vance High Income Opportunities Portfolio,,,,,,,,,,,,,,,,,,,,,BMO Enterprise Fund,,,,,,,,,,,DFA Canadian Vector Equity Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IA Clarington Focused US Equity Class
,,,,,,,,,,,,,iShares IV Plc - Edge MSCI World Value Factor UCITS ETF,,,,,,,,,,,,,,,,,,,,,Dimensional Funds ICVC - International Core Equity Fund,,,,,,,,,,,John Hancock II - International Small Company Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MassMutual Select T Rowe Price Small and Mid Cap Blend Fund
,,,,,,,,,,,,,APO Medical Opportunities,,,,,,,,,,,,,,,,,,,,,Vanguard Canadian All-Cap Equity Index Pooled Fund,,,,,,,,,,,RBC Canadian Index Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chartwell Small Cap Growth Fund
,,,,,,,,,,,,,DFA Large Cap International Portfolio,,,,,,,,,,,,,,,,,,,,,L&G ICAV - Global Small Cap Equity Index Fund,,,,,,,,,,,UBS (CH) Inst. Fund 2 - Equities Global Small Cap Passive II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF Developing Growth Fund
,,,,,,,,,,,,,RBC Canadian Index Fund,,,,,,,,,,,,,,,,,,,,,SSgA SPDR ETFs Europe II Plc - MSCI World Small Cap UCITS,,,,,,,,,,,iShares S&P/TSX Completion Index ETF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CI North American Small/Mid Cap Equity Private Pool
,,,,,,,,,,,,,PIMCO RAE International Fund,,,,,,,,,,,,,,,,,,,,,GWL Smaller Company Fund 6.03M,,,,,,,,,,,Compass Conservative Balanced Portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wells Fargo (Lux) Ww. Fd. - Small Cap Innovation Fund
,,,,,,,,,,,,,UBS (CH) Instl. Fund - Equities Canada Passive II,,,,,,,,,,,,,,,,,,,,,Allianz VIP Trust - AZL DFA International Core Equity Fund,,,,,,,,,,,DFA International Core Equity Portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI Powered International Equity ETF
,,,,,,,,,,,,,MD Equity Fund,,,,,,,,,,,,,,,,,,,,,John Hancock VIT - International Small Company Trust,,,,,,,,,,,Mackenzie Private Global Income Balanced Pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AdvisorShares Dorsey Wright Micro Cap ETF
,,,,,,,,,,,,,VT Sorbus Vector Funds ICVC - VT Sorbus Vector Fund 1,,,,,,,,,,,,,,,,,,,,,Avantis International Equity ETF,,,,,,,,,,,CIBC Canadian Index Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fidelity Flex Small Cap Fund
,,,,,,,,,,,,,BlackRock CIF - North American Equity Tracker Fund,,,,,,,,,,,,,,,,,,,,,Swisscanto (CH) IPF I - Index Eq. Fd. Small Cap World (ex-CH),,,,,,,,,,,CSIF World (ex-CH) Small Cap Index - Pension Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vanguard Growth & Income Fund
,,,,,,,,,,,,,BlackRock Corporate High Yield Fund VI Inc.,,,,,,,,,,,,,,,,,,,,,UBS (CH) Inst. Fund - Equities Global Small Cap Passive II,,,,,,,,,,,London Life Smaller Company Fund (Mackenzie),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Series Portfolios Trust - Weiss Alternative Balanced Risk Fund
,,,,,,,,,,,,,CIBC Canadian Index Fund,,,,,,,,,,,,,,,,,,,,,Swisscanto (CH) Index Fund II - Equity Small cap World (ex-CH),,,,,,,,,,,Marquis Institutional Canadian Equity Portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Russell Investments Canadian Equity Pool,,,,,,,,,,,,,,,,,,,,,JNL/DFA International Core Equity Fund,,,,,,,,,,,Brighthouse/Dimensional International Small Company Portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
