ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
799738.99,94226,128764.82,20394.31,,275753.21,,,,,,5955072,,96421053,2413386.96,,,,456933.87,,,,3466231.19,,,,110580.11,,,328.28,,202375.25,,,3629911.37,,189631.79,8411.17,,,,,106591.55,,,6536310.35,,,,,,,,,966199.32,,,,,2257.94,29519.34,5237.88,,,,,,,,,,,,135467.78,,12711,1262694.77,1313716.01,4136175,16594337.47
586988.83,94226,50650.88,13738.14,,241996.38,,,,,,5346031.9,,93074450.96,2176549.09,,,,349937.23,,,,2196443.01,,,,110246.92,,,122.49,,187923.9,,,3283986.91,,120867.63,6872.25,,,,,103765.79,,,6279142.38,,,,,,,,,785775.6,,,,,288.81,26956.72,5020.34,,,,,,,,,,,,83050.8,,11232.24,847833.77,1180000.77,3795585.75,15707457.81
425078.96,83154.45,31287.11,12904.52,,235170.91,,,,,,4987774.77,,82746979.82,1955675.64,,,,262281.88,,,,1521748,,,,94773.9,,,39.2,,156603.25,,,2540353.25,,64159.19,6239.31,,,,,81584.29,,,5734599.64,,,,,,,,,607076.1,,,,,280.05,14662.36,1642.21,,,,,,,,,,,,73518.89,,9139.61,793227.03,1141212.86,3562704.45,8198261.7
385434.48,48473.62,15446.62,12049.52,,229986,,,,,,4053885.49,,80817831.01,1682512.14,,,,229002.84,,,,813734.72,,,,81629.84,,,,,138061.43,,,1942162.66,,26297.51,5565.25,,,,,66001.85,,,5244901.96,,,,,,,,,436863.78,,,,,247.96,13678.16,1531.76,,,,,,,,,,,,71938.72,,8940.52,757350.11,951515.77,3007745.55,7468411.86
238682.12,45416.93,5786.22,9918,,213524.11,,,,,,3107058.82,,79498507.59,1213628.5,,,,214709.22,,,,793006.91,,,,76298.91,,,,,74543.15,,,1881381.43,,3389.05,4994.68,,,,,61505.94,,,4396786.91,,,,,,,,,418500,,,,,78.77,7400,1173.64,,,,,,,,,,,,55404.89,,6346.4,412514.15,920061.2,2612988.45,7111100
223293.32,40667.94,5327.9,6226.96,,191655,,,,,,2426096.33,,77309697.58,1178620.52,,,,171267.06,,,,666045.07,,,,62964.92,,,,,58550.82,,,1729234.41,,,2245.78,,,,,60974.53,,,4394246.88,,,,,,,,,396804.96,,,,,46.68,2829.02,1023.03,,,,,,,,,,,,46641.87,,4270.36,391666.56,794794.46,2511000,7111100
217884.34,37690.4,64.45,3277.22,,164572.87,,,,,,2105266.83,,66457402.25,741520.08,,,,131099.63,,,,593001.17,,,,59972.94,,,,,42307.93,,,1600840.64,,,1807.34,,,,,56234,,,4263337.79,,,,,,,,,11718,,,,,2.92,1608.76,818.87,,,,,,,,,,,,42972.71,,3148.05,253136.95,699218.64,2511000,6602698.18
187615.12,24969.89,,3078.86,,160985.09,,,,,,1816296.96,,65220256.36,487171.28,,,,127685.1,,,,581467.92,,,,59519.81,,,,,16693.91,,,1508097.02,,,1441.44,,,,,43932.81,,,3470067.79,,,,,,,,,8370,,,,,,959.04,716.23,,,,,,,,,,,,42401.7,,2140.8,224600.51,642127.69,2109323.7,6479467
181597,19410.56,,2992.5,,142711.42,,,,,,1385819.69,,64061765.69,460485.33,,,,96227.71,,,,523852.94,,,,50657.14,,,,,16029.91,,,1154600.24,,,1310.69,,,,,35314.95,,,2617380.69,,,,,,,,,2494.26,,,,,,611.24,527.69,,,,,,,,,,,,40343.8,,1873.2,173613.01,624242.83,1932646.95,5873810.43
172038.54,19354.02,,2972.84,,120709.43,,,,,,1244193.19,,61884657.9,434090.64,,,,84516.18,,,,505979.61,,,,41211.41,,,,,14420.03,,,1082587.88,,,960.96,,,,,33012.17,,,1762212.19,,,,,,,,,870.48,,,,,,444,409.44,,,,,,,,,,,,39574.92,,1821.82,157873.15,545454.9,1485103.05,4703490.69
103576.7,11071.56,,2479.5,,114619.91,,,,,,1223082.46,,56851859.11,398472.38,,,,64986.38,,,,490163.04,,,,38209.43,,,,,12528.26,,,866678.17,,,930.93,,,,,20384.82,,,1620009.75,,,,,,,,,,,,,,,374.44,234.28,,,,,,,,,,,,33073.33,,1766.7,139213.35,503782.15,1434562.2,3339330.73
91371,7049.99,,922.54,,82935.51,,,,,,1161134.83,,55784075.2,279439.7,,,,40245.8,,,,385620.55,,,,37063.28,,,,,8870.01,,,847631.57,,,918.92,,,,,7006.76,,,1473215.72,,,,,,,,,,,,,,,340.4,234.28,,,,,,,,,,,,28267.8,,1766.16,136940.84,426727.55,1215045,3335398.71
